venue,n_race,date
HV,14,1991/05/29
ST,14,1991/09/14
HV,14,1991/09/18
ST,14,1991/09/21
HV,14,1991/09/25
ST,14,1991/09/28
ST,14,1991/11/02
HV,14,1991/10/02
ST,14,1991/11/10
HV,14,1991/11/13
HV,14,1991/11/16
HV,14,1991/11/20
ST,14,1991/11/24
HV,14,1991/11/27
ST,14,1991/11/30
ST,14,1991/10/06
HV,14,1991/10/09
ST,14,1991/10/12
ST,14,1991/10/19
HV,14,1991/10/23
ST,14,1991/10/26
HV,14,1991/10/30
HV,14,1992/01/01
HV,14,1991/12/07
ST,14,1992/01/04
HV,14,1992/01/08
ST,14,1992/01/12
ST,14,1992/01/18
HV,14,1992/01/22
ST,14,1992/01/25
HV,14,1992/01/29
HV,14,1991/12/11
ST,14,1991/12/15
HV,14,1991/12/18
ST,14,1991/12/21
ST,14,1991/12/29
HV,14,1992/03/04
ST,14,1992/02/06
ST,14,1992/03/07
ST,14,1992/03/15
HV,14,1992/03/18
ST,14,1992/03/21
HV,14,1992/03/25
ST,14,1992/03/28
HV,14,1992/02/09
HV,14,1992/02/12
ST,14,1992/02/15
HV,14,1992/02/19
ST,14,1992/02/22
HV,14,1992/02/26
ST,14,1992/02/29
HV,14,1992/05/02
HV,14,1992/04/01
HV,14,1992/05/06
ST,14,1992/05/09
HV,14,1992/05/13
ST,14,1992/05/17
ST,14,1992/05/23
HV,14,1992/05/27
ST,14,1992/05/31
HV,14,1992/04/08
ST,14,1992/04/12
ST,14,1992/04/18
HV,14,1992/04/22
ST,14,1992/04/25
HV,14,1992/04/29
HV,14,1992/06/03
ST,14,1992/06/07
HV,14,1992/10/03
ST,14,1992/09/13
HV,14,1992/10/07
ST,14,1992/10/11
HV,14,1992/10/14
ST,14,1992/10/17
HV,14,1992/10/21
ST,14,1992/10/24
HV,14,1992/10/28
ST,14,1992/10/31
HV,14,1992/09/16
ST,14,1992/09/19
HV,14,1992/09/23
ST,14,1992/09/27
HV,14,1992/09/30
HV,14,1992/12/23
ST,14,1992/11/08
HV,14,1992/11/11
ST,14,1992/11/14
HV,14,1992/11/18
ST,14,1992/11/21
HV,14,1993/02/03
HV,14,1993/01/01
ST,14,1993/02/07
HV,14,1993/02/10
ST,14,1993/02/13
HV,14,1993/02/17
ST,14,1993/02/20
HV,14,1993/02/24
ST,14,1993/02/27
HV,14,1993/01/06
ST,14,1993/01/10
HV,14,1993/01/13
ST,14,1993/01/16
HV,14,1993/01/20
ST,14,1993/01/25
HV,14,1993/01/27
ST,14,1993/01/30
HV,14,1993/04/03
HV,14,1993/03/03
HV,14,1993/04/07
ST,14,1993/04/10
HV,14,1993/04/12
HV,14,1993/04/14
ST,14,1993/04/18
HV,14,1993/04/21
ST,14,1993/04/24
HV,14,1993/04/28
ST,14,1993/03/07
HV,14,1993/03/10
ST,14,1993/03/13
HV,14,1993/03/17
ST,14,1993/03/21
HV,14,1993/03/24
ST,14,1993/03/27
HV,14,1993/03/31
HV,14,1993/06/02
ST,14,1993/05/01
ST,14,1993/06/05
ST,14,1993/06/09
ST,14,1993/06/13
HV,14,1993/05/05
ST,14,1993/05/08
HV,14,1993/05/12
ST,14,1993/05/16
HV,14,1993/05/19
ST,14,1993/05/22
HV,14,1993/05/26
ST,14,1993/05/29
ST,14,1993/09/12
HV,14,1993/09/15
ST,14,1993/09/18
HV,14,1993/09/22
HV,14,1993/09/29
ST,14,1993/11/06
ST,14,1993/10/03
HV,14,1993/11/10
ST,14,1993/11/13
HV,14,1993/11/17
ST,14,1993/11/20
HV,14,1993/11/24
ST,14,1993/11/28
HV,14,1993/10/06
ST,14,1993/10/09
HV,14,1993/10/13
ST,14,1993/10/16
HV,14,1993/10/20
HV,14,1993/10/27
ST,14,1993/10/31
ST,14,1994/01/01
HV,14,1993/12/01
HV,14,1994/01/05
ST,14,1994/01/08
HV,14,1994/01/12
ST,14,1994/01/16
HV,14,1994/01/19
ST,14,1994/01/22
HV,14,1994/01/26
ST,14,1994/01/29
HV,14,1993/12/04
HV,14,1993/12/08
ST,14,1993/12/12
HV,14,1993/12/15
ST,14,1993/12/18
HV,14,1993/12/21
HV,14,1993/12/29
ST,14,1994/03/05
HV,14,1994/02/02
HV,14,1994/03/09
ST,14,1994/03/13
HV,14,1994/03/16
ST,14,1994/03/20
ST,14,1994/03/23
ST,14,1994/03/26
HV,14,1994/03/30
ST,14,1994/02/05
ST,14,1994/02/12
HV,14,1994/02/16
ST,14,1994/02/19
HV,14,1994/02/23
ST,14,1994/02/27
HV,14,1994/05/04
ST,14,1994/04/02
ST,14,1994/05/07
ST,14,1994/05/15
HV,14,1994/05/18
ST,14,1994/05/21
HV,14,1994/05/25
ST,14,1994/05/28
HV,14,1994/04/09
HV,14,1994/04/13
ST,14,1994/04/16
HV,14,1994/04/20
ST,14,1994/04/23
HV,14,1994/04/27
ST,14,1994/04/30
HV,14,1994/06/01
ST,14,1994/06/05
ST,14,1994/10/02
ST,14,1994/09/11
HV,14,1994/10/05
ST,14,1994/10/08
HV,14,1994/10/12
ST,14,1994/10/15
ST,14,1994/10/19
ST,14,1994/10/22
HV,14,1994/10/26
ST,14,1994/10/30
HV,14,1994/09/14
ST,14,1994/09/17
ST,14,1994/09/24
HV,14,1994/09/28
HV,14,1994/12/03
ST,14,1994/11/05
HV,14,1994/12/07
ST,14,1994/12/11
HV,14,1994/12/14
ST,14,1994/12/17
HV,14,1994/12/21
HV,14,1994/11/09
ST,14,1994/11/12
HV,14,1994/11/16
ST,14,1994/11/19
HV,14,1994/11/23
ST,14,1994/11/27
HV,14,1994/11/30
ST,14,1995/02/02
ST,14,1995/01/01
ST,14,1995/02/05
HV,14,1995/02/08
ST,14,1995/02/11
HV,14,1995/02/15
ST,14,1995/02/18
HV,14,1995/02/22
ST,14,1995/02/26
HV,14,1995/01/04
ST,14,1995/01/07
HV,14,1995/01/11
ST,14,1995/01/15
HV,14,1995/01/18
ST,14,1995/01/21
ST,14,1995/04/01
ST,14,1995/03/04
ST,14,1995/04/08
ST,14,1995/04/12
ST,14,1995/04/15
ST,14,1995/04/19
ST,14,1995/04/22
ST,14,1995/04/26
ST,14,1995/04/29
ST,14,1995/03/11
ST,14,1995/03/15
ST,14,1995/03/19
ST,14,1995/03/22
ST,14,1995/03/25
ST,14,1995/03/29
ST,14,1995/06/03
ST,14,1995/05/03
ST,14,1995/06/07
ST,14,1995/06/11
ST,14,1995/05/07
ST,14,1995/05/13
ST,14,1995/05/17
ST,14,1995/05/20
ST,14,1995/05/24
ST,14,1995/05/27
ST,14,1995/05/31
ST,14,1995/09/10
ST,14,1995/09/13
ST,14,1995/09/16
ST,14,1995/09/20
ST,14,1995/09/23
ST,14,1995/09/27
ST,14,1995/11/05
ST,14,1995/10/01
ST,14,1995/11/11
ST,14,1995/11/15
ST,14,1995/11/18
ST,14,1995/11/22
HV,14,1995/11/25
ST,14,1995/11/29
ST,14,1995/10/04
ST,14,1995/10/07
ST,14,1995/10/11
ST,14,1995/10/14
ST,14,1995/10/18
ST,14,1995/10/21
ST,14,1995/10/25
ST,14,1995/10/28
